Sample in Buffer,Sample in Window,TRIGGER,design_1_i/xlslice_bit0_Dout,design_1_i/xlslice_bit1_Dout,design_1_i/hier_0_test,design_1_i/hier_0_dout_mem,design_1_i/hier_0_dout_fifo,design_1_i/New_cdr_A_dout10b[9:0],design_1_i/dv_1[1:0],design_1_i/d_in_1[1:0],design_1_i/hier_0_address[13:0],design_1_i/address_counter_0_address[13:0],design_1_i/h_bert_Q[31:0]
7949,7949,0,0,0,1,1,0,1111111111,3,1,174e,0000,13246
7950,7950,0,0,0,1,0,1,1111111111,0,0,174f,0000,13246
7951,7951,0,0,0,1,1,0,1111111111,3,1,1750,0000,13247
7952,7952,0,0,0,1,0,1,1111111111,3,1,1751,0000,13248
7953,7953,0,0,0,1,1,1,1111111111,3,1,1752,0000,13249
7954,7954,0,0,0,1,1,0,1111111111,3,1,1753,0000,13250
7955,7955,0,0,0,1,0,1,1111111111,3,1,1754,0000,13250
7956,7956,0,0,0,1,1,0,1111111111,3,1,1755,0000,13251
7957,7957,0,0,0,1,0,1,1111111111,3,1,1756,0000,13252
7958,7958,0,0,0,1,1,1,1111111111,3,1,1757,0000,13253
7959,7959,0,0,0,1,1,0,1111111111,3,1,1758,0000,13254
7960,7960,0,0,0,1,0,1,1111111111,3,3,1759,0000,13254
7961,7961,0,0,0,1,1,0,1111111111,3,1,175a,0000,13255
7962,7962,0,0,0,1,0,1,1111111111,3,1,175b,0000,13256
7963,7963,0,0,0,1,1,1,1111111111,3,1,175c,0000,13257
7964,7964,0,0,0,1,1,0,1111111111,3,1,175d,0000,13258
7965,7965,0,0,0,1,0,1,1111111111,3,1,175e,0000,13258
7966,7966,0,0,0,1,1,0,1111111111,3,1,175f,0000,13259
7967,7967,0,0,0,1,0,1,1111111111,3,1,1760,0000,13260
7968,7968,0,0,0,1,1,1,1111111111,3,1,1761,0000,13261
7969,7969,0,0,0,1,1,0,1111111111,3,1,1762,0000,13262
7970,7970,0,0,0,1,0,1,1111111111,0,0,1763,0000,13262
7971,7971,0,0,0,1,1,0,1111111111,3,1,1764,0000,13263
7972,7972,0,0,0,1,0,1,1111111111,3,1,1765,0000,13264
7973,7973,0,0,0,1,1,1,1111111111,3,1,1766,0000,13265
7974,7974,0,0,0,1,1,0,1111111111,3,1,1767,0000,13266
7975,7975,0,0,0,1,0,1,1111111111,3,1,1768,0000,13266
7976,7976,0,0,0,1,1,0,1111111111,3,1,1769,0000,13267
7977,7977,0,0,0,1,0,1,1111111111,3,1,176a,0000,13268
7978,7978,0,0,0,1,1,1,1111111111,3,1,176b,0000,13269
7979,7979,0,0,0,1,1,0,1111111111,3,1,176c,0000,13270
7980,7980,0,0,0,1,0,1,1111111111,3,3,176d,0000,13270
7981,7981,0,0,0,1,1,0,1111111111,3,1,176e,0000,13271
7982,7982,0,0,0,1,0,1,1111111111,3,1,176f,0000,13272
7983,7983,0,0,0,1,1,1,1111111111,3,1,1770,0000,13273
7984,7984,0,0,0,1,1,0,1111111111,3,1,1771,0000,13274
7985,7985,0,0,0,1,0,1,1111111111,3,1,1772,0000,13274
7986,7986,0,0,0,1,1,0,1111111111,3,1,1773,0000,13275
7987,7987,0,0,0,1,0,1,1111111111,3,1,1774,0000,13276
7988,7988,0,0,0,1,1,1,1111111111,3,1,1775,0000,13277
7989,7989,0,0,0,1,1,0,1111111111,3,1,1776,0000,13278
7990,7990,0,0,0,1,0,1,1111111111,0,0,1777,0000,13278
7991,7991,0,0,0,1,1,0,1111111111,3,1,1778,0000,13279
7992,7992,0,0,0,1,0,1,1111111111,3,1,1779,0000,13280
7993,7993,0,0,0,1,1,1,1111111111,3,1,177a,0000,13281
7994,7994,0,0,0,1,1,0,1111111111,3,1,177b,0000,13282
7995,7995,0,0,0,1,0,1,1111111111,3,1,177c,0000,13282
7996,7996,0,0,0,1,1,0,1111111111,3,1,177d,0000,13283
7997,7997,0,0,0,1,0,1,1111111111,3,1,177e,0000,13284
7998,7998,0,0,0,1,1,1,1111111111,3,1,177f,0000,13285
7999,7999,0,0,0,1,1,0,1111111111,3,1,1780,0000,13286
8000,8000,0,0,0,1,0,1,1111111111,3,3,1781,0000,13286
8001,8001,0,0,0,1,1,0,1111111111,3,1,1782,0000,13287
8002,8002,0,0,0,1,0,1,1111111111,3,1,1783,0000,13288
8003,8003,0,0,0,1,1,1,1111111111,3,1,1784,0000,13289
8004,8004,0,0,0,1,1,0,1111111111,3,1,1785,0000,13290
8005,8005,0,0,0,1,0,1,1111111111,3,1,1786,0000,13290
8006,8006,0,0,0,1,1,0,1111111111,3,1,1787,0000,13291
8007,8007,0,0,0,1,0,1,1111111111,3,1,1788,0000,13292
8008,8008,0,0,0,1,1,1,1111111111,3,1,1789,0000,13293
8009,8009,0,0,0,1,1,0,1111111111,3,1,178a,0000,13294
8010,8010,0,0,0,1,0,1,1111111111,0,0,178b,0000,13294
8011,8011,0,0,0,1,1,0,1111111111,3,1,178c,0000,13295
8012,8012,0,0,0,1,0,1,1111111111,3,1,178d,0000,13296
8013,8013,0,0,0,1,1,1,1111111111,3,1,178e,0000,13297
8014,8014,0,0,0,1,1,0,1111111111,3,1,178f,0000,13298
8015,8015,0,0,0,1,0,1,1111111111,3,1,1790,0000,13298
8016,8016,0,0,0,1,1,0,1111111111,3,1,1791,0000,13299
8017,8017,0,0,0,1,0,1,1111111111,3,1,1792,0000,13300
8018,8018,0,0,0,1,1,1,1111111111,3,1,1793,0000,13301
8019,8019,0,0,0,1,1,0,1111111111,3,1,1794,0000,13302
8020,8020,0,0,0,1,0,1,1111111111,3,3,1795,0000,13302
8021,8021,0,0,0,1,1,0,1111111111,3,1,1796,0000,13303
8022,8022,0,0,0,1,0,1,1111111111,3,1,1797,0000,13304
8023,8023,0,0,0,1,1,1,1111111111,3,1,1798,0000,13305
8024,8024,0,0,0,1,1,0,1111111111,3,1,1799,0000,13306
8025,8025,0,0,0,1,0,1,1111111111,3,1,179a,0000,13306
8026,8026,0,0,0,1,1,0,1111111111,3,1,179b,0000,13307
8027,8027,0,0,0,1,0,1,1111111111,3,1,179c,0000,13308
8028,8028,0,0,0,1,1,1,1111111111,3,1,179d,0000,13309
8029,8029,0,0,0,1,1,0,1111111111,3,1,179e,0000,13310
8030,8030,0,0,0,1,0,1,1111111111,0,0,179f,0000,13310
8031,8031,0,0,0,1,1,0,1111111111,3,1,17a0,0000,13311
8032,8032,0,0,0,1,0,1,1111111111,3,1,17a1,0000,13312
8033,8033,0,0,0,1,1,1,1111111111,3,1,17a2,0000,13313
8034,8034,0,0,0,1,1,0,1111111111,3,1,17a3,0000,13314
8035,8035,0,0,0,1,0,1,1111111111,3,1,17a4,0000,13314
8036,8036,0,0,0,1,1,0,1111111111,3,1,17a5,0000,13315
8037,8037,0,0,0,1,0,1,1111111111,3,1,17a6,0000,13316
8038,8038,0,0,0,1,1,1,1111111111,3,1,17a7,0000,13317
8039,8039,0,0,0,1,1,0,1111111111,3,1,17a8,0000,13318
8040,8040,0,0,0,1,0,1,1111111111,3,3,17a9,0000,13318
8041,8041,0,0,0,1,1,0,1111111111,3,1,17aa,0000,13319
8042,8042,0,0,0,1,0,1,1111111111,3,1,17ab,0000,13320
8043,8043,0,0,0,1,1,1,1111111111,3,1,17ac,0000,13321
8044,8044,0,0,0,1,1,0,1111111111,3,1,17ad,0000,13322
8045,8045,0,0,0,1,0,1,1111111111,3,1,17ae,0000,13322
8046,8046,0,0,0,1,1,0,1111111111,3,1,17af,0000,13323
8047,8047,0,0,0,1,0,1,1111111111,3,1,17b0,0000,13324
8048,8048,0,0,0,1,1,1,1111111111,3,1,17b1,0000,13325
8049,8049,0,0,0,1,1,0,1111111111,3,1,17b2,0000,13326
8050,8050,0,0,0,1,0,1,1111111111,0,0,17b3,0000,13326
8051,8051,0,0,0,1,1,0,1111111111,3,1,17b4,0000,13327
8052,8052,0,0,0,1,0,1,1111111111,3,1,17b5,0000,13328
8053,8053,0,0,0,1,1,1,1111111111,3,1,17b6,0000,13329
8054,8054,0,0,0,1,1,0,1111111111,3,1,17b7,0000,13330
8055,8055,0,0,0,1,0,1,1111111111,3,1,17b8,0000,13330
8056,8056,0,0,0,1,1,0,1111111111,3,1,17b9,0000,13331
8057,8057,0,0,0,1,0,1,1111111111,3,1,17ba,0000,13332
8058,8058,0,0,0,1,1,1,1111111111,3,1,17bb,0000,13333
8059,8059,0,0,0,1,1,0,1111111111,3,1,17bc,0000,13334
8060,8060,0,0,0,1,0,1,1111111111,3,3,17bd,0000,13334
8061,8061,0,0,0,1,1,0,1111111111,3,1,17be,0000,13335
8062,8062,0,0,0,1,0,1,1111111111,3,1,17bf,0000,13336
8063,8063,0,0,0,1,1,1,1111111111,3,1,17c0,0000,13337
8064,8064,0,0,0,1,1,0,1111111111,3,1,17c1,0000,13338
8065,8065,0,0,0,1,0,1,1111111111,3,1,17c2,0000,13338
8066,8066,0,0,0,1,1,0,1111111111,3,1,17c3,0000,13339
8067,8067,0,0,0,1,0,1,1111111111,3,1,17c4,0000,13340
8068,8068,0,0,0,1,1,1,1111111111,3,1,17c5,0000,13341
8069,8069,0,0,0,1,1,0,1111111111,3,1,17c6,0000,13342
8070,8070,0,0,0,1,0,1,1111111111,0,0,17c7,0000,13342
8071,8071,0,0,0,1,1,0,1111111111,3,1,17c8,0000,13343
8072,8072,0,0,0,1,0,1,1111111111,3,1,17c9,0000,13344
8073,8073,0,0,0,1,1,1,1111111111,3,1,17ca,0000,13345
8074,8074,0,0,0,1,1,0,1111111111,3,1,17cb,0000,13346
8075,8075,0,0,0,1,0,1,1111111111,3,1,17cc,0000,13346
8076,8076,0,0,0,1,1,0,1111111111,3,1,17cd,0000,13347
8077,8077,0,0,0,1,0,1,1111111111,3,1,17ce,0000,13348
